iterations,depth,ndcg,precision@5,recall@5,ndcg@5,enrichment@5,precision@10,recall@10,ndcg@10,enrichment@10,precision@20,recall@20,ndcg@20,enrichment@20
100.0,1.0,-0.0002629492727653,0.0092307692307692,0.0308992083185631,0.0205237860118776,1.940470282405767,0.0138461538461538,0.1004029304029304,0.0407677893120694,3.1526520146520154,-0.0023076923076923,-0.0450570284271472,-0.0114435286644952,-0.707395346306213
100.0,2.0,1.7577901848808697e-06,-0.003076923076923,-0.0171390013495276,0.0013069204459962,-1.0763292847503363,0.0092307692307692,0.0604617312512049,0.0251093007749944,1.898498361287836,-0.003076923076923,-0.0545037220843672,-0.0074155847410612,-0.8557084367245666
100.0,5.0,0.0198376019473971,0.0215384615384615,0.0707875457875458,0.0480040200823206,4.445457875457876,0.0153846153846153,0.0760678992767278,0.0448166471652434,2.388532037289253,0.0015384615384615,0.0027162509250794,0.0146709935901825,0.0426451395237466
100.0,6.0,-0.0011503337120342,0.0123076923076923,0.0337767495662232,0.0107306809543255,2.1211798727588214,0.0123076923076923,0.0836302294197031,0.0260378532525508,2.625989203778678,0.0007692307692307,-0.0126683644595359,-0.009733127021694,-0.1988933220147153
100.0,8.0,0.0052435621421439,0.0153846153846153,0.0197509903791737,0.016808511643165,1.2403621958121116,0.0138461538461538,0.0718554450642736,0.0262059118533949,2.256260975018191,0.003076923076923,-0.0053810705423608,0.0017291666927267,-0.0844828075150667
500.0,1.0,0.0111722121762404,0.0092307692307692,0.0042508566702115,0.0285946991301359,0.2669537988892836,0.0169230769230769,0.1047985347985348,0.0525199997636133,3.2906739926739927,0.0,-0.0120899954601143,0.0108146056829581,-0.1898129287237955
500.0,2.0,0.0206923845053359,0.0246153846153846,0.0741613649508386,0.0448626387273895,4.657333718912666,0.0261538461538461,0.1313792545880831,0.0643795758037228,4.125308594065809,0.0061538461538461,0.0544012326100611,0.0385999350528847,0.8540993519779594
500.0,5.0,0.005467341785188,0.0215384615384615,0.0551521483609769,0.0349682897397283,3.4635549170693505,0.02,0.1067455549543835,0.0406829831482181,3.351810425567642,0.003076923076923,0.0163077669359503,0.0065406408182269,0.2560319408944185
500.0,6.0,0.009320164128648,0.0153846153846153,0.041324309533138,0.0278789827351323,2.5951666386810697,0.0138461538461538,0.0660862142950428,0.0231266328427733,2.075107128864345,0.0038461538461538,0.0185037967126252,0.013810221063929,0.2905096083882155
500.0,8.0,-0.0082194291205503,0.0092307692307692,-0.0099048800661703,-0.0018466938965657,-0.6220264681555001,0.0123076923076923,0.0077381107856489,-0.0026807105928218,0.242976678669379,0.0053846153846153,-0.0096392967530488,-0.0123153178517851,-0.1513369590228688
1000.0,1.0,0.0122887951737537,0.0215384615384615,0.0352948127141675,0.0312547646397201,2.216514238449723,0.02,0.1123992673992674,0.0445573026361392,3.529336996336996,0.0,-0.0120899954601143,0.0085265840705711,-0.1898129287237955
1000.0,2.0,0.0205014956047178,0.0184615384615384,0.0701704633792919,0.047701170367761,4.406705100219531,0.0169230769230769,0.109309657518486,0.0525219901408062,3.432323246080462,0.0038461538461538,0.0345294377382662,0.0301136044805742,0.5421121724907794
1000.0,5.0,-0.0106229185068425,0.0215384615384615,0.0313954862341959,0.0108848604278811,1.9716365355075036,0.0169230769230769,0.0631558113646398,0.0090232712786916,1.9830924768496925,0.0046153846153846,0.021069671697855,-0.0089877157040331,0.3307938456563235
1000.0,6.0,0.0084811144226003,0.0092307692307692,0.018247386456215,0.01996678065697,1.1459358694503,0.0076923076923076,0.0296925004819741,0.0135519221898073,0.9323445151339892,0.0069230769230769,0.0405733937822223,0.0144397422931533,0.6370022823808892
1000.0,8.0,-0.0114390177791968,0.003076923076923,-0.0066997518610421,-0.0117355532949907,-0.4207444168734477,0.0123076923076923,0.0179945210420592,-0.0021545012929817,0.5650279607206601,0.003076923076923,-0.0294318923860519,-0.0221615201763987,-0.4620807104610165
