iter	Passed	Remaining
746	5938	2011
747	5944	2002
748	5951	1994
749	5957	1985
750	5964	1977
751	5970	1969
752	5977	1960
753	5983	1952
754	5989	1943
755	5994	1934
756	6000	1926
757	6006	1917
758	6013	1909
759	6021	1901
760	6027	1893
761	6033	1884
762	6042	1876
763	6048	1868
764	6055	1860
765	6061	1851
766	6069	1843
767	6076	1835
768	6083	1827
769	6089	1819
770	6096	1810
771	6102	1802
772	6109	1794
773	6115	1785
774	6121	1777
775	6127	1768
776	6133	1760
777	6139	1751
778	6145	1743
779	6151	1735
780	6157	1726
781	6164	1718
782	6171	1710
783	6178	1702
784	6185	1694
785	6192	1685
786	6200	1678
787	6208	1670
788	6215	1662
789	6222	1654
790	6229	1645
791	6237	1638
792	6244	1630
793	6252	1622
794	6258	1613
795	6266	1605
796	6272	1597
797	6278	1589
798	6286	1581
799	6292	1573
800	6299	1565
801	6307	1557
802	6313	1548
803	6319	1540
804	6327	1532
805	6334	1524
806	6340	1516
807	6347	1508
808	6353	1499
809	6360	1491
810	6368	1484
811	6375	1476
812	6386	1469
813	6400	1462
814	6412	1455
815	6420	1447
816	6427	1439
817	6434	1431
818	6442	1423
819	6448	1415
820	6454	1407
821	6460	1399
822	6467	1390
823	6473	1382
824	6480	1374
825	6486	1366
826	6492	1358
827	6499	1350
828	6505	1341
829	6511	1333
830	6518	1325
831	6524	1317
832	6530	1309
833	6536	1301
834	6543	1292
835	6549	1284
836	6555	1276
837	6562	1268
838	6568	1260
839	6575	1252
840	6581	1244
841	6587	1236
842	6596	1228
843	6603	1220
844	6609	1212
845	6616	1204
846	6622	1196
847	6628	1188
848	6634	1180
849	6641	1172
850	6647	1163
851	6653	1155
852	6660	1147
853	6667	1139
854	6673	1131
855	6679	1123
856	6685	1115
857	6691	1107
858	6698	1099
859	6704	1091
860	6710	1083
861	6717	1075
862	6723	1067
863	6729	1059
864	6735	1051
865	6742	1043
866	6749	1035
867	6756	1027
868	6762	1019
869	6769	1011
870	6775	1003
871	6781	995
872	6787	987
873	6794	979
874	6800	971
875	6806	963
876	6812	955
877	6818	947
878	6824	939
879	6831	931
880	6837	923
881	6843	915
882	6849	907
883	6856	899
884	6863	891
885	6870	884
886	6878	876
887	6886	868
888	6894	860
889	6901	853
890	6907	845
891	6914	837
892	6920	829
893	6926	821
894	6934	813
895	6940	805
896	6946	797
897	6953	789
898	6959	781
899	6966	774
900	6976	766
901	6983	758
902	6989	750
903	6997	743
904	7003	735
905	7009	727
906	7016	719
907	7025	711
908	7031	703
909	7037	696
910	7044	688
911	7050	680
912	7057	672
913	7065	664
914	7072	657
915	7078	649
916	7085	641
917	7092	633
918	7099	625
919	7105	617
920	7112	610
921	7118	602
922	7124	594
923	7131	586
924	7137	578
925	7144	570
926	7151	563
927	7157	555
928	7163	547
929	7170	539
930	7176	531
931	7184	524
932	7192	516
933	7199	508
934	7206	500
935	7212	493
936	7218	485
937	7224	477
938	7231	469
939	7237	461
940	7244	454
941	7250	446
942	7257	438
943	7262	430
944	7269	423
945	7275	415
946	7281	407
947	7287	399
948	7295	392
949	7303	384
950	7312	376
951	7319	369
952	7328	361
953	7335	353
954	7342	345
955	7348	338
956	7358	330
957	7365	322
958	7373	315
959	7381	307
960	7388	299
961	7394	292
962	7402	284
963	7409	276
964	7416	268
965	7423	261
966	7432	253
967	7438	245
968	7445	238
969	7452	230
970	7458	222
971	7464	215
972	7473	207
973	7482	199
974	7491	192
975	7505	184
976	7517	176
977	7528	169
978	7534	161
979	7543	153
980	7549	146
981	7555	138
982	7562	130
983	7568	123
984	7575	115
985	7581	107
986	7587	99
987	7594	92
988	7600	84
989	7607	76
990	7614	69
991	7621	61
992	7627	53
993	7633	46
994	7640	38
995	7646	30
996	7652	23
997	7658	15
998	7664	7
999	7671	0
