descriptor,mean,std
PEOE_VSA10,13.00331029103086,13.502302773314486
PEOE_VSA11,5.271507500023923,7.044778759059731
PEOE_VSA12,2.3798683846832187,5.196474883583304
PEOE_VSA13,1.0647398416517266,3.1001676492952557
PEOE_VSA14,1.6620474388283413,3.382346527742839
PEOE_VSA2,5.79639968181035,6.906102021138359
PEOE_VSA3,1.3625293764852857,3.2361967887793477
PEOE_VSA4,0.14993226163540965,1.2488281223804165
PEOE_VSA5,0.9649028216244554,2.809604887916167
PEOE_VSA6,16.637736027880543,18.457197967660413
PEOE_VSA7,31.30681079960942,21.364973058881795
PEOE_VSA8,15.44271723038057,9.616631256095932
PEOE_VSA9,12.282414399954247,11.22393668957589
SMR_VSA1,21.31192839335822,15.92256330379417
SMR_VSA10,12.186188610513598,12.445672154382512
SMR_VSA2,0.0,1.0
SMR_VSA3,2.621895413588383,5.83378591881042
SMR_VSA4,7.378976100385358,10.993877792040122
SMR_VSA5,39.502441351864725,30.045920607956408
SMR_VSA6,8.328268111347356,10.431508272286518
SMR_VSA7,28.829131862599844,22.113783576191185
SMR_VSA9,5.794702874786154,8.543892446954072
SlogP_VSA1,8.081848537088167,8.051361313908389
SlogP_VSA10,0.5730232136601182,1.8668192914356223
SlogP_VSA11,5.604443536701701,8.216165828182437
SlogP_VSA12,1.4632560169285571,5.712691057110792
SlogP_VSA2,33.44168916928937,26.00626184644976
SlogP_VSA3,10.347225391283672,10.376506801598053
SlogP_VSA4,8.503653347164022,11.21629328132264
SlogP_VSA5,33.13780118199968,25.14131774949129
SlogP_VSA6,22.082689694407765,17.01971898312227
SlogP_VSA7,0.04256468909950276,0.4623708743640811
SlogP_VSA8,2.675337940821086,5.437712216096297
TPSA,81.93576271186441,65.60913889602769
EState_VSA1,17.804639989628644,23.44917167898015
EState_VSA10,15.02918619349159,13.21612598784541
EState_VSA11,0.0,1.0
EState_VSA2,16.635418668238927,13.979808682431184
EState_VSA3,10.7893211811539,10.206461993486883
EState_VSA4,15.252766842865206,13.91631151497054
EState_VSA5,14.095830556993445,14.470694892846755
EState_VSA6,8.560128742718915,9.707548405151032
EState_VSA7,7.746807126491683,12.521351806234689
EState_VSA8,14.995918503105091,20.799276236901285
EState_VSA9,5.043514913756237,5.414226803626683
VSA_EState1,5.597799913382846,9.902948136874887
VSA_EState10,0.2281327396599095,0.892499951525096
VSA_EState2,18.18443191676405,19.272662157743934
VSA_EState3,17.934815391305484,18.32513253214698
VSA_EState4,1.272384591558768,2.986127475774986
VSA_EState5,-0.5573226871941914,2.0795842843011063
VSA_EState6,3.7024119988298865,4.7943544969554965
VSA_EState7,2.508858362245356,4.778040559675947
VSA_EState8,4.837278266259773,6.107370472208583
VSA_EState9,0.272452445041228,2.592772913561455
FractionCSP3,0.5186430601848835,0.27326456798515153
HeavyAtomCount,21.43220338983051,10.455832064613853
NHOHCount,2.4237288135593222,2.3403074517174858
NOCount,5.11864406779661,3.872253902120298
NumAliphaticCarbocycles,0.847457627118644,1.2918357615971658
NumAliphaticHeterocycles,1.0593220338983051,1.26283071580292
NumAliphaticRings,1.9067796610169492,1.7344537214118865
NumAmideBonds,0.3050847457627119,0.8819992303451413
NumAromaticCarbocycles,0.7288135593220338,0.7472000950460296
NumAromaticHeterocycles,0.19491525423728814,0.43869414956132774
NumAromaticRings,0.923728813559322,0.9166716052176239
NumAtomStereoCenters,3.1271186440677967,2.8210036710892457
NumBridgeheadAtoms,0.3559322033898305,0.9293451764026087
NumHAcceptors,4.271186440677966,3.7885590634050557
NumHDonors,2.0677966101694913,1.9730180515604216
NumHeteroatoms,5.262711864406779,4.277606100432381
NumHeterocycles,1.2542372881355932,1.2621135487268023
NumRotatableBonds,2.73728813559322,4.4422754739383015
NumSaturatedCarbocycles,0.5,1.0439078454267836
NumSaturatedHeterocycles,0.6864406779661016,1.035268267329636
NumSaturatedRings,1.1864406779661016,1.4731160794826406
NumSpiroAtoms,0.15254237288135594,0.482640859277262
NumUnspecifiedAtomStereoCenters,0.3305084745762712,0.8274674031926401
Phi,4.000700616096515,3.498138884074865
RingCount,2.830508474576271,1.7556019482736593
MolLogP,0.9196953389830526,2.8295337644504737
MolMR,78.30853474576273,37.82595623456247
fr_Al_COO,0.2457627118644068,0.5982373064570843
fr_Al_OH,0.711864406779661,1.5364611070880023
fr_Al_OH_noTert,0.559322033898305,1.5277623035313952
fr_ArN,0.01694915254237288,0.12963135419615376
fr_Ar_COO,0.01694915254237288,0.12963135419615376
fr_Ar_N,0.19491525423728814,0.6028206431431388
fr_Ar_NH,0.1016949152542373,0.3035355907397339
fr_Ar_OH,0.559322033898305,1.1212201296661048
fr_COO,0.2627118644067797,0.605218984196953
fr_COO2,0.2627118644067797,0.605218984196953
fr_C_O,1.271186440677966,1.350283395067147
fr_C_O_noCOO,1.271186440677966,1.350283395067147
fr_C_S,0.0,1.0
fr_HOCCN,0.0,1.0
fr_Imine,0.00847457627118644,0.09205746178983232
fr_NH0,0.3559322033898305,0.7340954516385939
fr_NH1,0.5254237288135594,0.8239146126904053
fr_NH2,0.1440677966101695,0.439024243023805
fr_N_O,0.01694915254237288,0.12963135419615376
fr_Ndealkylation1,0.0847457627118644,0.27969064676509087
fr_Ndealkylation2,0.0423728813559322,0.20229739454449253
fr_Nhpyrrole,0.1016949152542373,0.3035355907397339
fr_SH,0.00847457627118644,0.0920574617898323
fr_aldehyde,0.05084745762711865,0.22062295744653473
fr_alkyl_carbamate,0.0,1.0
fr_alkyl_halide,0.0,1.0
