iter	Passed	Remaining
835	5667	1111
836	5673	1104
837	5679	1097
838	5687	1091
839	5693	1084
840	5701	1077
841	5707	1071
842	5714	1064
843	5720	1057
844	5727	1050
845	5734	1043
846	5740	1037
847	5747	1030
848	5754	1023
849	5761	1016
850	5767	1009
851	5775	1003
852	5782	996
853	5789	989
854	5795	982
855	5801	976
856	5808	969
857	5815	962
858	5823	955
859	5829	949
860	5836	942
861	5843	935
862	5849	928
863	5858	922
864	5864	915
865	5870	908
866	5876	901
867	5882	894
868	5889	887
869	5895	880
870	5901	874
871	5907	867
872	5913	860
873	5921	853
874	5927	846
875	5934	840
876	5942	833
877	5948	826
878	5955	819
879	5961	812
880	5966	805
881	5973	799
882	5979	792
883	5985	785
884	5993	778
885	5999	771
886	6005	765
887	6011	758
888	6017	751
889	6022	744
890	6028	737
891	6034	730
892	6042	724
893	6048	717
894	6054	710
895	6060	703
896	6065	696
897	6072	689
898	6078	682
899	6084	676
900	6090	669
901	6097	662
902	6102	655
903	6109	648
904	6115	641
905	6121	635
906	6127	628
907	6134	621
908	6140	614
909	6147	607
910	6153	601
911	6159	594
912	6167	587
913	6175	581
914	6183	574
915	6189	567
916	6198	561
917	6205	554
918	6212	547
919	6219	540
920	6226	534
921	6232	527
922	6240	520
923	6245	513
924	6252	506
925	6258	500
926	6265	493
927	6273	486
928	6279	479
929	6286	473
930	6293	466
931	6302	459
932	6308	452
933	6315	446
934	6323	439
935	6331	432
936	6338	426
937	6344	419
938	6354	412
939	6364	406
940	6371	399
941	6380	392
942	6387	386
943	6394	379
944	6400	372
945	6409	365
946	6417	359
947	6425	352
948	6433	345
949	6442	339
950	6448	332
951	6454	325
952	6461	318
953	6468	311
954	6474	305
955	6483	298
956	6491	291
957	6499	284
958	6505	278
959	6510	271
960	6517	264
961	6522	257
962	6528	250
963	6534	244
964	6540	237
965	6547	230
966	6552	223
967	6558	216
968	6564	210
969	6571	203
970	6579	196
971	6585	189
972	6592	182
973	6599	176
974	6606	169
975	6614	162
976	6620	155
977	6628	149
978	6636	142
979	6642	135
980	6648	128
981	6654	121
982	6660	115
983	6665	108
984	6671	101
985	6677	94
986	6683	88
987	6689	81
988	6695	74
989	6700	67
990	6706	60
991	6712	54
992	6718	47
993	6724	40
994	6730	33
995	6736	27
996	6742	20
997	6748	13
998	6754	6
999	6760	0
